threshold,precision,recall,true_positives,false_positives,false_negatives,alerts_raised,pct_legit_flagged,illustrative_total_cost
0.1,0.035272904849554865,0.997874601487779,2817,77046,6,79863,99.83026031071434,386130
0.2,0.03525427143270841,0.991852639036486,2800,76623,23,79423,99.28216955828809,386565
0.3,0.03528101965601966,0.9766206163655685,2757,75387,66,78144,97.68065615403553,386835
0.4,0.03542094455852156,0.9043570669500531,2553,69523,270,72076,90.08253754356868,388115
0.5,0.042297872340425535,0.3521076868579525,994,22506,1829,23500,29.16153776384156,386880
0.6,0.10810810810810811,0.04675876726886291,132,1089,2691,1221,1.4110421498633012,409095
0.7,0.5570469798657718,0.029401346085724405,83,66,2740,149,0.08551770605232129,411330
0.8,0.7916666666666666,0.026921714488133193,76,20,2747,96,0.0259144563794913,412150
0.9,0.8636363636363636,0.026921714488133193,76,12,2747,88,0.01554867382769478,412110
